id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
33405043,A+ Studio Hotel Style Suite-Heart of Union Square,70722023,Michael,,Downtown/Civic Center,37.78998,-122.40794,Entire home/apt,65,2,9,2020-01-24,0.87,53,30
33417325,"Swanky Alamo Sq Studio facing Park, walk to Tech Shuttle by Blueground",107434423,Blueground,,Western Addition,37.77866,-122.43273,Entire home/apt,179,30,0,,,237,336
33420461,Amazing Urban Cottage With Post Card Views,377744,Scott,,North Beach,37.7999,-122.4042,Entire home/apt,195,30,2,2019-12-20,0.33,2,302
33420931,Sonder | Hayes Valley | Lovely Guest Room + Lounge,219930816,Sonder (San Francisco),,Downtown/Civic Center,37.7744,-122.4218,Private room,185,2,14,2019-12-18,1.34,153,314
33421098,Sonder | Hayes Valley | Bright Guest Room + Lounge,219930816,Sonder (San Francisco),,Downtown/Civic Center,37.77517,-122.42219,Private room,185,2,9,2020-01-26,0.87,153,306
33421279,Sonder | Hayes Valley | Lively Guest Room + Lounge,219930816,Sonder (San Francisco),,Western Addition,37.77512,-122.42388,Private room,196,2,20,2020-01-05,1.95,153,320
33421281,Sonder | Hayes Valley | Cozy Double Room + Lounge,219930816,Sonder (San Francisco),,Western Addition,37.77573,-122.42315,Private room,274,2,13,2020-01-11,1.79,153,333
33421288,Sonder | Hayes Valley | Sunny Guest Room + Lounge,219930816,Sonder (San Francisco),,Downtown/Civic Center,37.77381,-122.42184,Private room,209,2,7,2019-12-24,0.91,153,334
33421484,Sonder | Hayes Valley | Modern Guest Room + Lounge,219930816,Sonder (San Francisco),,Downtown/Civic Center,37.77524,-122.42175,Private room,187,2,16,2020-01-03,1.54,153,303
33430562,Private Top Floor + Ocean Views in Ashbury Heights,30474972,Dana,,Haight Ashbury,37.76289,-122.44561,Private room,350,1,0,,,3,134
33431036,SOMA apartment San Francisco 7th Street,251857916,Aminah,,South of Market,37.77874,-122.41065,Entire home/apt,87,30,1,2019-05-11,0.11,2,349
33451367,Long Term Visit!,222767094,Megan,,Haight Ashbury,37.77178,-122.44356,Entire home/apt,300,30,2,2019-08-07,0.21,2,364
33452479,2BR Dreamforce Oasis 10 mins to Moscone Center!,252019117,Jill,,South of Market,37.7715,-122.4136,Entire home/apt,449,2,10,2019-08-12,1.11,1,0
33453976,Haas Living Dog Patch Commuter Home,4497462,Bodie,,Potrero Hill,37.7558,-122.39207,Shared room,49,30,3,2020-02-01,0.46,4,179
33457138,Spacious Bedroom w/ Private Bath & Private Entry,694440,Yuca,,Castro/Upper Market,37.76245,-122.44192,Private room,145,2,60,2020-01-26,5.71,2,228
33489653,Wyndham Canterbury at San Francisco 1 bedroom 7A,100238132,Michael,,Downtown/Civic Center,37.78853,-122.41311,Entire home/apt,229,3,1,2019-04-11,0.10,21,33
